Timestamp,Gender,Current Level of Studies,Type of Institution,What is your preferred study method ?,How many hours do you study per day?,How many hours do you study per day during examination period?  ,Do you organise your time ?,Do you have a reading plan before exams?  ,Do you take notes in class?  ,Do you attend group study sessions with classmates?  ,How many hours of lectures do you skip per week? ,Do you use internet resources to improve academic performance?  ,What is your current CGPA ?,Number of subjects enrolled previous semester ?,Average carry mark / coursework (%) in previous semester,"On average, how many hours per day do you spend on social media instead of studying?  ",How often does social media distract you from studying?  ,Do you feel that physical exercise or sports affects your available study time?  ,What do you think is your biggest challenge when it comes to managing your study time?
3/13/2026 23:01:09,Male,Bachelor's Degree,Private University,Self-study,3–4 hours,8 hours or more,Yes,Yes,Yes,No,1–2 hours,Yes,3.50 – 4.00,5 – 6 subjects,80-100%,5 hours or more,Often,Sometimes,Cant control myself from social media
3/13/2026 23:21:30,Female,Bachelor's Degree,Private University,Self-study,Less than 1 hour,2–4 hours,Yes,Yes,Yes,No,1–2 hours,Yes,3.50 – 4.00,3 – 4 subjects,80-100%,3–4 hours,Always,Never,Distraction from mobile devices and too comfortable environment such as studying in bedroom
3/13/2026 23:52:16,Male,Bachelor's Degree,Public University,Self-study,1–2 hours,2–4 hours,No,No,No,No,None (I attend all lectures),Yes,3.50 – 4.00,3 – 4 subjects,80-100%,1–2 hours,Always,Never,I think the perceived notion of a lack of time. When in actuality the hurdle is actually just starting. There’s plenty of time even with all the extra things we do. It’s just whether we want to optimise it or not
3/14/2026 0:08:21,Male,Bachelor's Degree,Private University,Self-study,1–2 hours,2–4 hours,No,Yes,Yes,No,1–2 hours,Yes,3.00 – 3.49,3 – 4 subjects,50–69%,3–4 hours,Often,Often,"Always procrastinated studying until last minute, and feeling overwhelmed if I do study "
3/14/2026 0:14:53,Male,Foundation,Public University,Self-study,3–4 hours,2–4 hours,Yes,Yes,Yes,No,None (I attend all lectures),Yes,3.50 – 4.00,3 – 4 subjects,80-100%,1–2 hours,Often,Sometimes,"usualy, I tend to socialize with people before I study so that I aint feel sleepy. But Then, excessive time to socialize made me lack of time to study properly."
3/14/2026 0:21:36,Male,Bachelor's Degree,Private University,Mind mapping,3–4 hours,8 hours or more,Yes,Yes,Yes,Yes,1–2 hours,Yes,3.50 – 4.00,3 – 4 subjects,40–49%,3–4 hours,Always,Sometimes,Balancing commitments outside university with study time.
3/14/2026 0:29:19,Female,Bachelor's Degree,Private University,Self-study,1–2 hours,2–4 hours,Yes,No,Yes,No,1–2 hours,Yes,3.50 – 4.00,3 – 4 subjects,40–49%,5 hours or more,Always,Sometimes,"My biggest challenge when managing my study time is when i have to balance my studies with extracurricular activities, time with friends and personal free time. When i have too many assignment deadlines, events and other commitments at the same times, it becomes difficult to manage my time effectively"
3/14/2026 0:32:46,Female,Diploma,Public University,Self-study,5 hours or more,8 hours or more,Yes,Yes,Yes,No,None (I attend all lectures),Yes,3.00 – 3.49,5 – 6 subjects,50–69%,5 hours or more,Always,Sometimes,Feel drowsiness
3/14/2026 0:37:29,Male,Master's Degree,Public University,Self-study,5 hours or more,8 hours or more,Yes,Yes,No,No,1–2 hours,Yes,3.50 – 4.00,5 – 6 subjects,80-100%,3–4 hours,Sometimes,Never,Managing priorities
3/14/2026 0:40:58,Female,Bachelor's Degree,Public University,Self-study,Less than 1 hour,5–7 hours,No,No,No,No,None (I attend all lectures),Yes,3.50 – 4.00,7 or more subjects,40–49%,5 hours or more,Always,Sometimes,my screen time 😓
